목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
스타벅스/대전도안DT점,127.34018681405291,36.35139799040111,대전광역시 유성구,1.0,월요일
스타벅스/대전전민점,127.40052491500144,36.39943982882912,대전광역시 유성구,1.0,월요일
스타벅스/별다방점,126.982729816384,37.5600439705648,서울특별시 중구,1.0,월요일
스타벅스/천안업성레이크점,127.138066953207,36.8454636785359,충청남도 천안시 서북구,1.0,월요일
스타벅스/충남대정문점,127.34452340417732,36.36065865870943,대전광역시 유성구,1.0,월요일
스테이인터뷰/공주점,127.12158707491744,36.457277270340455,중학동,7.0,월요일
승지원,127.12689874961296,36.82843439709467,충청남도 천안시 서북구,1.0,월요일
식약동원,127.11887128639783,36.44893798087662,중학동,1.0,월요일
신미정춘천닭갈비/본점,127.286781392523,36.479995039761,세종특별자치시,1.0,월요일
신사우물갈비/아산온천점,127.000773090691,36.7932073889019,충청남도 아산시,1.0,월요일
신안골분식,127.288248370531,36.6158413213083,세종특별자치시,1.0,월요일
신영드림타워,127.2621940938323,36.48238920019551,세종특별자치시,1.0,월요일
신탄진성당,127.42733373185,36.4483836648059,대전광역시 대덕구,1.0,월요일
신터미널약국,127.134954274156,36.4685049736458,신관동,3.0,월요일
신풍보건지소,126.95785586540735,36.51530572732411,신풍면,4.0,월요일
십전갈비탕,127.2518888178526,36.3594793143949,반포면,4.0,월요일
쌍신동마을회관,127.116064299042,36.4802550854587,신관동,1.0,월요일
쌍용수산시장,127.115812481013,36.7910784495652,충청남도 천안시 서북구,1.0,월요일
썬더치킨/공주대점,127.13674516859152,36.47259525556824,신관동,1.0,월요일
아람누리펜션,127.205973500403,36.4203457757662,반포면,3.0,월요일
아름동복합커뮤니티센터,127.246978326739,36.512230108271,세종특별자치시,1.0,월요일
아산마트/오송점,127.330081546774,36.6323749492909,충청북도 청주시 흥덕구,2.0,월요일
아웃백스테이크하우스/평택점,127.08530985820092,36.99068588652231,경기도 평택시,1.0,월요일
아차산배수지체육공원/풋살장,127.095858637441,37.5490141509664,서울특별시 광진구,1.0,월요일
아트센터고마,127.107842931466,36.4665066061521,웅진동,6.0,월요일
안경매니져/도안점,127.344079009536,36.3191652156043,대전광역시 서구,1.0,월요일
안면도수목원,126.3549836084056,36.49688960596481,충청남도 태안군,1.0,월요일
안성댁부대찌개,127.309480524359,36.3987398879782,대전광역시 유성구,1.0,월요일
알라딘중고서점/청주점,127.489492952824,36.6359141691522,충청북도 청주시 상당구,1.0,월요일
압구정모텔,127.129952040326,36.470284081662,신관동,1.0,월요일
앵화당,126.84376538972,36.5313004923426,충청남도 청양군,1.0,월요일
야옹아멍멍해봐/세종점,127.229303608251,36.4987841084571,세종특별자치시,1.0,월요일
양촌자연휴양림,127.248159241146,36.1574940883487,충청남도 논산시,1.0,월요일
어나더오더,127.13504941459716,36.46932312135417,신관동,1.0,월요일
어부나라/유구점,126.952522703912,36.54991285453,유구읍,1.0,월요일
에이치에이치커피,126.802045044271,37.4458355693327,경기도 시흥시,1.0,월요일
에클로그,127.513831845887,36.5825962802909,충청북도 청주시 상당구,1.0,월요일
엔제리너스/망양휴게소점,129.421353325638,36.8729949561263,nan nan,1.0,월요일
엔젤농장,127.03363836117576,36.49478319768821,사곡면,1.0,월요일
여러분고맙습니다,127.122907189982,36.4561396079067,중학동,1.0,월요일
여정/[한식],127.265746474723,36.3636303656359,반포면,1.0,월요일
역곡2동성당,126.80828877498,37.488314059335,경기도 부천시,1.0,월요일
역전할머니맥주/공주대점,127.13628478773,36.472756058823,신관동,2.0,월요일
연무체육공원,127.095627239424,36.1257200123248,충청남도 논산시,1.0,월요일
연세내과의원,127.13380871226082,36.4717545498623,신관동,1.0,월요일
연세산후조리원/세종점,127.275930993991,36.4732195773733,세종특별자치시,1.0,월요일
연세탑내과의원,127.13873592390576,36.474005770891495,신관동,2.0,월요일
연천봉,127.19158651907026,36.35002037005192,계룡면,4.0,월요일
연화플라워,127.308129641099,36.3900272608405,대전광역시 유성구,1.0,월요일
영풍문고/유성점,127.34423977106158,36.35874448010395,대전광역시 유성구,2.0,월요일
옛날숯불갈비/본점,127.30833195511389,36.35854694941074,대전광역시 유성구,3.0,월요일
옛터민속박물관,127.44084381562962,36.21510485306332,대전광역시 동구,3.0,월요일
오모리생바지락손칼국수,127.314044905412,36.3939229354324,대전광역시 유성구,7.0,월요일
오미돌솥쌈밥,127.24208158018524,36.35960598869167,반포면,1.0,월요일
오브떼르,127.336308008806,36.3491416103289,대전광역시 유성구,2.0,월요일
오시오칼국수,127.32881109792918,36.39055607792155,대전광역시 유성구,3.0,월요일
오원집/삼천직영점,127.110009736253,35.7981523580746,전라북도 전주시 완산구,1.0,월요일
오정농수산물도매시장,127.405863775605,36.357476851690535,대전광역시 대덕구,5.0,월요일
옥계폭포,127.672277780048,36.2125415545352,충청북도 영동군,2.0,월요일
온리링케이크,127.3337481672866,36.35100971637053,대전광역시 유성구,1.0,월요일
온천손칼국수쭈꾸미,127.3497696895109,36.35658452560696,대전광역시 서구,1.0,월요일
올리브영/세종소담점,127.29915429652262,36.48432446280872,세종특별자치시,1.0,월요일
와우치킨나라,127.13460004496,36.4727083932602,신관동,1.0,월요일
